time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446900000	18.5458	6.96953	4.93034	1.02059	0.432558	lidar	0	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.6999	7.17107	4.94698	1.0019	0.292199	radar	0	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9132	7.29075	4.87288	0.945897	0.17248	lidar	0	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9922	7.50291	4.82236	1.0323	0.437636	radar	0	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0763	7.76949	4.88106	1.0949	0.511278	lidar	0	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2016	7.97232	4.87648	1.09278	0.423733	radar	0	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.279	8.18806	4.8586	1.12916	0.451266	lidar	0	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3817	8.395	4.8512	1.12585	0.347549	radar	0	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.483	8.53739	4.74483	1.11983	0.31619	lidar	0	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5717	8.74767	4.72586	1.15665	0.399713	radar	0	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7433	8.9118	4.68621	1.12065	0.30549	lidar	0	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8104	9.13896	4.67955	1.1858	0.473674	radar	0	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9425	9.36093	4.70435	1.18592	0.430156	lidar	0	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.978	9.59527	4.69273	1.27515	0.651857	radar	0	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0594	9.83398	4.71778	1.30215	0.639913	lidar	0	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1265	10.079	4.75481	1.29912	0.477468	radar	0	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1687	10.3526	4.8137	1.34196	0.501687	lidar	0	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1802	10.5947	4.80991	1.41041	0.635217	radar	0	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2341	10.8651	4.86132	1.43775	0.622138	lidar	0	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2671	11.1215	4.88958	1.44215	0.493306	radar	0	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.301	11.3583	4.88216	1.46326	0.488872	lidar	0	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2395	11.6123	4.88206	1.58695	0.820972	radar	0	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3081	11.848	4.87119	1.5887	0.760995	lidar	0	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3436	12.0826	4.86039	1.53289	0.386081	radar	0	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3332	12.3671	4.92408	1.56252	0.393463	lidar	0	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2795	12.6056	4.90837	1.65654	0.671131	radar	0	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3046	12.8426	4.89167	1.66572	0.635167	lidar	0	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.2946	13.0751	4.87414	1.68472	0.603349	radar	0	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2578	13.2873	4.83179	1.71724	0.611193	lidar	0	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2206	13.5237	4.83054	1.7269	0.511751	radar	0	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2033	13.781	4.85369	1.74133	0.49285	lidar	0	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
